Concurso,Data,Local Realizacao,Rateio Processamento,Acumulou,Valor Acumulado,Dezenas,Premiacao
656,2005-04-16T00:00:00-03:00,,False,True,9573736.75,"35, 36, 37, 46, 51, 59","Sena (0 ganhadores), Quina (24 ganhadores), Quadra (2623 ganhadores)"
657,2005-04-20T00:00:00-03:00,,False,False,0,"16, 20, 33, 58, 59, 60","Sena (1 ganhadores), Quina (56 ganhadores), Quadra (3995 ganhadores)"
658,2005-04-23T00:00:00-03:00,,False,True,999190.32,"03, 06, 11, 20, 36, 41","Sena (0 ganhadores), Quina (31 ganhadores), Quadra (2883 ganhadores)"
659,2005-04-27T00:00:00-03:00,,False,True,7004050.46,"14, 29, 34, 40, 51, 52","Sena (0 ganhadores), Quina (22 ganhadores), Quadra (1390 ganhadores)"
660,2005-04-30T00:00:00-03:00,,False,True,8704277.05,"05, 11, 38, 46, 53, 54","Sena (0 ganhadores), Quina (58 ganhadores), Quadra (4204 ganhadores)"
661,2005-05-04T00:00:00-03:00,,False,True,10398923.36,"04, 27, 36, 40, 42, 55","Sena (0 ganhadores), Quina (64 ganhadores), Quadra (4211 ganhadores)"
662,2005-05-07T00:00:00-03:00,,False,True,12469215.44,"04, 18, 23, 25, 56, 60","Sena (0 ganhadores), Quina (79 ganhadores), Quadra (5525 ganhadores)"
663,2005-05-11T00:00:00-03:00,,False,True,14445995.2,"01, 27, 30, 49, 51, 55","Sena (0 ganhadores), Quina (64 ganhadores), Quadra (4020 ganhadores)"
664,2005-05-14T00:00:00-03:00,,False,True,23857740.39,"01, 12, 36, 38, 55, 59","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (4971 ganhadores)"
665,2005-05-18T00:00:00-03:00,,False,True,26622098.55,"07, 08, 18, 25, 47, 48","Sena (0 ganhadores), Quina (185 ganhadores), Quadra (10055 ganhadores)"
666,2005-05-21T00:00:00-03:00,,False,True,30250022.18,"07, 16, 26, 29, 45, 55","Sena (0 ganhadores), Quina (77 ganhadores), Quadra (8122 ganhadores)"
667,2005-05-25T00:00:00-03:00,,False,False,0,"01, 04, 05, 16, 23, 49","Sena (1 ganhadores), Quina (203 ganhadores), Quadra (15283 ganhadores)"
668,2005-05-28T00:00:00-03:00,,False,True,1020967.19,"01, 02, 14, 33, 49, 56","Sena (0 ganhadores), Quina (53 ganhadores), Quadra (2814 ganhadores)"
669,2005-06-01T00:00:00-03:00,,False,False,0,"07, 24, 27, 40, 41, 49","Sena (1 ganhadores), Quina (32 ganhadores), Quadra (2427 ganhadores)"
670,2005-06-04T00:00:00-03:00,,False,True,10792198.93,"22, 37, 42, 48, 58, 59","Sena (0 ganhadores), Quina (24 ganhadores), Quadra (2895 ganhadores)"
671,2005-06-08T00:00:00-03:00,,False,True,12739685.49,"09, 16, 27, 38, 39, 51","Sena (0 ganhadores), Quina (67 ganhadores), Quadra (4259 ganhadores)"
672,2005-06-11T00:00:00-03:00,,False,True,15033880.01,"24, 28, 34, 38, 43, 53","Sena (0 ganhadores), Quina (54 ganhadores), Quadra (4411 ganhadores)"
673,2005-06-15T00:00:00-03:00,,False,True,17241869.86,"06, 11, 20, 34, 37, 40","Sena (0 ganhadores), Quina (72 ganhadores), Quadra (4792 ganhadores)"
674,2005-06-18T00:00:00-03:00,,False,True,27769536.63,"18, 22, 29, 32, 38, 42","Sena (0 ganhadores), Quina (96 ganhadores), Quadra (5586 ganhadores)"
675,2005-06-22T00:00:00-03:00,,False,True,30839224.48,"24, 25, 30, 42, 43, 50","Sena (0 ganhadores), Quina (67 ganhadores), Quadra (5204 ganhadores)"
676,2005-06-25T00:00:00-03:00,,False,True,34471676.39,"09, 15, 32, 41, 42, 49","Sena (0 ganhadores), Quina (94 ganhadores), Quadra (7583 ganhadores)"
677,2005-06-29T00:00:00-03:00,,False,True,38657818.81,"08, 10, 25, 32, 48, 55","Sena (0 ganhadores), Quina (284 ganhadores), Quadra (12803 ganhadores)"
678,2005-07-02T00:00:00-03:00,,False,True,44355495.36,"14, 31, 40, 42, 44, 46","Sena (0 ganhadores), Quina (115 ganhadores), Quadra (9797 ganhadores)"
679,2005-07-06T00:00:00-03:00,,False,False,0,"03, 21, 25, 37, 54, 58","Sena (1 ganhadores), Quina (448 ganhadores), Quadra (22087 ganhadores)"
680,2005-07-09T00:00:00-03:00,,False,True,19623257.97,"02, 03, 05, 22, 26, 44","Sena (0 ganhadores), Quina (188 ganhadores), Quadra (11222 ganhadores)"
681,2005-07-13T00:00:00-03:00,,False,True,22194175.2,"21, 25, 38, 53, 58, 59","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (5210 ganhadores)"
682,2005-07-16T00:00:00-03:00,,False,True,24996965.62,"04, 27, 36, 37, 47, 60","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (5647 ganhadores)"
683,2005-07-20T00:00:00-03:00,,False,True,27715795.78,"02, 11, 12, 35, 40, 43","Sena (0 ganhadores), Quina (79 ganhadores), Quadra (5680 ganhadores)"
684,2005-07-23T00:00:00-03:00,,False,True,40669733.33,"17, 19, 33, 37, 40, 50","Sena (0 ganhadores), Quina (81 ganhadores), Quadra (7103 ganhadores)"
685,2005-07-27T00:00:00-03:00,,False,False,0,"05, 12, 27, 33, 43, 56","Sena (1 ganhadores), Quina (347 ganhadores), Quadra (15404 ganhadores)"
686,2005-07-30T00:00:00-03:00,,False,True,1251986.54,"04, 05, 15, 26, 33, 54","Sena (0 ganhadores), Quina (47 ganhadores), Quadra (3901 ganhadores)"
687,2005-08-03T00:00:00-03:00,,False,True,2518128.16,"01, 07, 14, 41, 48, 59","Sena (0 ganhadores), Quina (28 ganhadores), Quadra (2887 ganhadores)"
688,2005-08-06T00:00:00-03:00,,False,True,4108867.61,"11, 21, 30, 35, 47, 52","Sena (0 ganhadores), Quina (38 ganhadores), Quadra (2757 ganhadores)"
689,2005-08-10T00:00:00-03:00,,False,True,12298361.58,"06, 07, 31, 49, 51, 60","Sena (0 ganhadores), Quina (29 ganhadores), Quadra (2998 ganhadores)"
690,2005-08-13T00:00:00-03:00,,False,True,14381378.18,"08, 12, 15, 41, 47, 53","Sena (0 ganhadores), Quina (90 ganhadores), Quadra (5446 ganhadores)"
691,2005-08-17T00:00:00-03:00,,False,True,16330873.12,"08, 16, 37, 50, 55, 58","Sena (0 ganhadores), Quina (54 ganhadores), Quadra (3896 ganhadores)"
692,2005-08-20T00:00:00-03:00,,False,True,18612740.26,"11, 18, 33, 57, 58, 60","Sena (0 ganhadores), Quina (71 ganhadores), Quadra (4995 ganhadores)"
693,2005-08-24T00:00:00-03:00,,False,True,20982752.64,"13, 14, 17, 31, 41, 50","Sena (0 ganhadores), Quina (152 ganhadores), Quadra (7170 ganhadores)"
694,2005-08-27T00:00:00-03:00,,False,True,31925755.05,"15, 19, 29, 37, 41, 53","Sena (0 ganhadores), Quina (114 ganhadores), Quadra (7087 ganhadores)"
695,2005-08-31T00:00:00-03:00,,False,True,34880737.54,"06, 11, 13, 21, 40, 52","Sena (0 ganhadores), Quina (76 ganhadores), Quadra (6333 ganhadores)"
696,2005-09-03T00:00:00-03:00,,False,False,0,"09, 16, 34, 37, 53, 57","Sena (2 ganhadores), Quina (195 ganhadores), Quadra (10814 ganhadores)"
697,2005-09-10T00:00:00-03:00,,False,True,1575200.44,"28, 31, 32, 35, 51, 53","Sena (0 ganhadores), Quina (27 ganhadores), Quadra (2895 ganhadores)"
698,2005-09-14T00:00:00-03:00,,False,True,2805890.89,"08, 12, 22, 27, 43, 55","Sena (0 ganhadores), Quina (43 ganhadores), Quadra (3981 ganhadores)"
699,2005-09-19T00:00:00-03:00,,False,True,12141821.41,"17, 23, 48, 50, 53, 54","Sena (0 ganhadores), Quina (54 ganhadores), Quadra (3752 ganhadores)"
700,2005-09-21T00:00:00-03:00,,False,True,13810515.56,"02, 03, 14, 24, 31, 40","Sena (0 ganhadores), Quina (53 ganhadores), Quadra (3584 ganhadores)"
701,2005-09-24T00:00:00-03:00,,False,True,15838891.81,"01, 13, 23, 31, 48, 60","Sena (0 ganhadores), Quina (103 ganhadores), Quadra (5623 ganhadores)"
702,2005-09-28T00:00:00-03:00,,False,True,17719825.24,"01, 18, 45, 56, 57, 58","Sena (0 ganhadores), Quina (47 ganhadores), Quadra (3663 ganhadores)"
703,2005-10-01T00:00:00-03:00,,False,True,20037455.42,"02, 11, 24, 27, 30, 45","Sena (0 ganhadores), Quina (123 ganhadores), Quadra (7343 ganhadores)"
704,2005-10-05T00:00:00-03:00,,False,True,29484065.62,"02, 04, 18, 27, 34, 50","Sena (0 ganhadores), Quina (56 ganhadores), Quadra (5784 ganhadores)"
705,2005-10-08T00:00:00-03:00,,False,True,32452771.1,"03, 11, 13, 15, 26, 43","Sena (0 ganhadores), Quina (144 ganhadores), Quadra (11514 ganhadores)"
706,2005-10-15T00:00:00-03:00,,False,True,36334914.54,"02, 07, 10, 17, 22, 60","Sena (0 ganhadores), Quina (282 ganhadores), Quadra (15980 ganhadores)"
707,2005-10-19T00:00:00-02:00,,False,False,0,"01, 08, 10, 36, 43, 51","Sena (2 ganhadores), Quina (140 ganhadores), Quadra (12461 ganhadores)"
708,2005-10-22T00:00:00-02:00,,False,True,1172271.79,"07, 09, 13, 39, 45, 47","Sena (0 ganhadores), Quina (102 ganhadores), Quadra (5998 ganhadores)"
709,2005-10-26T00:00:00-02:00,,False,True,11276978,"04, 06, 09, 22, 29, 44","Sena (0 ganhadores), Quina (106 ganhadores), Quadra (5202 ganhadores)"
710,2005-10-29T00:00:00-02:00,,False,True,13081573.14,"05, 25, 34, 39, 46, 49","Sena (0 ganhadores), Quina (48 ganhadores), Quadra (4608 ganhadores)"
711,2005-11-05T00:00:00-02:00,,False,True,15586402.01,"05, 10, 33, 40, 41, 59","Sena (0 ganhadores), Quina (79 ganhadores), Quadra (5840 ganhadores)"
712,2005-11-09T00:00:00-02:00,,False,True,17644136.19,"07, 08, 35, 43, 53, 58","Sena (0 ganhadores), Quina (97 ganhadores), Quadra (5637 ganhadores)"
713,2005-11-12T00:00:00-02:00,,False,True,20040586.54,"01, 12, 16, 26, 46, 54","Sena (0 ganhadores), Quina (67 ganhadores), Quadra (5838 ganhadores)"
714,2005-11-16T00:00:00-02:00,,False,True,29611134.96,"07, 08, 17, 35, 39, 53","Sena (0 ganhadores), Quina (113 ganhadores), Quadra (10955 ganhadores)"
715,2005-11-19T00:00:00-02:00,,False,False,0,"04, 12, 24, 33, 36, 54","Sena (3 ganhadores), Quina (237 ganhadores), Quadra (13134 ganhadores)"
716,2005-11-23T00:00:00-02:00,,False,False,0,"02, 07, 16, 29, 32, 50","Sena (1 ganhadores), Quina (37 ganhadores), Quadra (2512 ganhadores)"
717,2005-11-26T00:00:00-02:00,,False,True,1065855.06,"06, 17, 23, 28, 35, 41","Sena (0 ganhadores), Quina (68 ganhadores), Quadra (3816 ganhadores)"
718,2005-11-30T00:00:00-02:00,,False,True,2053079.87,"07, 21, 33, 35, 39, 58","Sena (0 ganhadores), Quina (41 ganhadores), Quadra (2893 ganhadores)"
719,2005-12-03T00:00:00-02:00,,False,True,8649484.79,"03, 32, 37, 39, 47, 53","Sena (0 ganhadores), Quina (63 ganhadores), Quadra (3553 ganhadores)"
720,2005-12-07T00:00:00-02:00,,False,True,10247549.36,"12, 31, 44, 51, 54, 56","Sena (0 ganhadores), Quina (20 ganhadores), Quadra (2606 ganhadores)"
721,2005-12-10T00:00:00-02:00,,False,True,12157688.32,"03, 14, 23, 25, 36, 55","Sena (0 ganhadores), Quina (99 ganhadores), Quadra (6723 ganhadores)"
722,2005-12-14T00:00:00-02:00,,False,True,14047415.26,"09, 18, 36, 44, 57, 60","Sena (0 ganhadores), Quina (85 ganhadores), Quadra (5334 ganhadores)"
723,2005-12-17T00:00:00-02:00,,False,True,16211920.28,"01, 06, 16, 36, 50, 52","Sena (0 ganhadores), Quina (49 ganhadores), Quadra (4000 ganhadores)"
724,2005-12-21T00:00:00-02:00,,False,True,25450246.43,"17, 27, 34, 48, 51, 55","Sena (0 ganhadores), Quina (102 ganhadores), Quadra (6190 ganhadores)"
725,2005-12-31T00:00:00-02:00,,False,False,0,"03, 09, 35, 37, 41, 49","Sena (2 ganhadores), Quina (343 ganhadores), Quadra (20451 ganhadores)"
726,2006-01-04T00:00:00-02:00,,False,True,946893.69,"01, 05, 07, 37, 40, 47","Sena (0 ganhadores), Quina (35 ganhadores), Quadra (2838 ganhadores)"
727,2006-01-07T00:00:00-02:00,,False,True,2216072.86,"04, 12, 14, 30, 42, 59","Sena (0 ganhadores), Quina (29 ganhadores), Quadra (2688 ganhadores)"
728,2006-01-11T00:00:00-02:00,,False,True,3431622.25,"08, 13, 24, 32, 42, 44","Sena (0 ganhadores), Quina (81 ganhadores), Quadra (5381 ganhadores)"
729,2006-01-14T00:00:00-02:00,,False,False,0,"05, 18, 33, 43, 56, 57","Sena (1 ganhadores), Quina (51 ganhadores), Quadra (5041 ganhadores)"
730,2006-01-18T00:00:00-02:00,,False,True,9358249.67,"02, 15, 16, 45, 50, 54","Sena (0 ganhadores), Quina (34 ganhadores), Quadra (2824 ganhadores)"
731,2006-01-21T00:00:00-02:00,,False,True,11137662.34,"06, 15, 16, 23, 28, 35","Sena (0 ganhadores), Quina (88 ganhadores), Quadra (6659 ganhadores)"
732,2006-01-25T00:00:00-02:00,,False,True,12799611.64,"06, 17, 19, 49, 50, 53","Sena (0 ganhadores), Quina (65 ganhadores), Quadra (4196 ganhadores)"
733,2006-01-28T00:00:00-02:00,,False,True,14762139.6,"02, 12, 26, 31, 43, 46","Sena (0 ganhadores), Quina (67 ganhadores), Quadra (5110 ganhadores)"
734,2006-02-01T00:00:00-02:00,,False,False,0,"27, 29, 43, 44, 45, 54","Sena (1 ganhadores), Quina (58 ganhadores), Quadra (3984 ganhadores)"
735,2006-02-04T00:00:00-02:00,,False,True,7826853.28,"09, 15, 38, 40, 42, 52","Sena (0 ganhadores), Quina (33 ganhadores), Quadra (3043 ganhadores)"
736,2006-02-08T00:00:00-02:00,,False,True,9417386.79,"01, 21, 38, 41, 49, 56","Sena (0 ganhadores), Quina (19 ganhadores), Quadra (2190 ganhadores)"
737,2006-02-11T00:00:00-02:00,,False,True,11547995.59,"11, 12, 24, 32, 33, 38","Sena (0 ganhadores), Quina (65 ganhadores), Quadra (6267 ganhadores)"
738,2006-02-15T00:00:00-02:00,,False,True,13745772.39,"14, 15, 26, 30, 42, 54","Sena (0 ganhadores), Quina (47 ganhadores), Quadra (4178 ganhadores)"
739,2006-02-18T00:00:00-02:00,,False,True,23305073.75,"06, 10, 35, 45, 49, 56","Sena (0 ganhadores), Quina (54 ganhadores), Quadra (4723 ganhadores)"
740,2006-02-22T00:00:00-03:00,,False,False,0,"12, 16, 28, 29, 47, 50","Sena (1 ganhadores), Quina (90 ganhadores), Quadra (6943 ganhadores)"
741,2006-02-25T00:00:00-03:00,,False,True,1145248.54,"24, 26, 27, 36, 39, 59","Sena (0 ganhadores), Quina (23 ganhadores), Quadra (2133 ganhadores)"
742,2006-03-01T00:00:00-03:00,,False,True,1766454.86,"02, 07, 17, 34, 41, 50","Sena (0 ganhadores), Quina (25 ganhadores), Quadra (1622 ganhadores)"
743,2006-03-04T00:00:00-03:00,,False,True,3211524.66,"20, 23, 25, 32, 54, 60","Sena (0 ganhadores), Quina (28 ganhadores), Quadra (2762 ganhadores)"
744,2006-03-08T00:00:00-03:00,,False,True,9937380.49,"04, 12, 23, 26, 39, 46","Sena (0 ganhadores), Quina (77 ganhadores), Quadra (5387 ganhadores)"
745,2006-03-11T00:00:00-03:00,,False,True,11955163.21,"02, 16, 21, 37, 43, 57","Sena (0 ganhadores), Quina (134 ganhadores), Quadra (5262 ganhadores)"
746,2006-03-15T00:00:00-03:00,,False,False,0,"01, 10, 12, 25, 49, 57","Sena (2 ganhadores), Quina (114 ganhadores), Quadra (6686 ganhadores)"
747,2006-03-18T00:00:00-03:00,,False,True,1213104.4,"02, 03, 12, 21, 23, 56","Sena (0 ganhadores), Quina (53 ganhadores), Quadra (4363 ganhadores)"
748,2006-03-22T00:00:00-03:00,,False,True,2389018.77,"01, 02, 07, 19, 35, 51","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (4519 ganhadores)"
749,2006-03-25T00:00:00-03:00,,False,True,9429097.84,"04, 24, 47, 48, 50, 57","Sena (0 ganhadores), Quina (31 ganhadores), Quadra (2669 ganhadores)"
750,2006-03-29T00:00:00-03:00,,False,True,11040828.28,"10, 17, 33, 42, 54, 58","Sena (0 ganhadores), Quina (49 ganhadores), Quadra (3799 ganhadores)"
751,2006-04-01T00:00:00-03:00,,False,True,13012035.71,"04, 07, 20, 25, 38, 50","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (5579 ganhadores)"
752,2006-04-05T00:00:00-03:00,,False,True,14971892.19,"04, 23, 24, 25, 29, 42","Sena (0 ganhadores), Quina (86 ganhadores), Quadra (6849 ganhadores)"
753,2006-04-08T00:00:00-03:00,,False,False,0,"02, 07, 22, 35, 43, 59","Sena (1 ganhadores), Quina (152 ganhadores), Quadra (8630 ganhadores)"
754,2006-04-12T00:00:00-03:00,,False,True,7463330.98,"03, 04, 13, 34, 42, 50","Sena (0 ganhadores), Quina (41 ganhadores), Quadra (2827 ganhadores)"
755,2006-04-15T00:00:00-03:00,,False,True,8777742.92,"04, 12, 30, 47, 49, 59","Sena (0 ganhadores), Quina (41 ganhadores), Quadra (2977 ganhadores)"
756,2006-04-19T00:00:00-03:00,,False,True,10414179.09,"05, 27, 37, 38, 41, 50","Sena (0 ganhadores), Quina (34 ganhadores), Quadra (3135 ganhadores)"
757,2006-04-22T00:00:00-03:00,,False,True,12082632.69,"12, 17, 18, 30, 32, 58","Sena (0 ganhadores), Quina (53 ganhadores), Quadra (3448 ganhadores)"
758,2006-04-26T00:00:00-03:00,,False,True,13941260.58,"01, 23, 36, 43, 47, 59","Sena (0 ganhadores), Quina (74 ganhadores), Quadra (4910 ganhadores)"
759,2006-04-29T00:00:00-03:00,,False,True,22265544.19,"30, 31, 39, 45, 48, 59","Sena (0 ganhadores), Quina (38 ganhadores), Quadra (2588 ganhadores)"
760,2006-05-03T00:00:00-03:00,,False,True,24506255.18,"12, 17, 44, 45, 46, 60","Sena (0 ganhadores), Quina (80 ganhadores), Quadra (5517 ganhadores)"
761,2006-05-06T00:00:00-03:00,,False,True,27512048.76,"13, 17, 27, 29, 40, 56","Sena (0 ganhadores), Quina (100 ganhadores), Quadra (8936 ganhadores)"
762,2006-05-10T00:00:00-03:00,,False,True,30932491.92,"09, 12, 21, 37, 39, 54","Sena (0 ganhadores), Quina (143 ganhadores), Quadra (10120 ganhadores)"
763,2006-05-13T00:00:00-03:00,,False,True,35086525.19,"01, 09, 26, 40, 47, 48","Sena (0 ganhadores), Quina (101 ganhadores), Quadra (7655 ganhadores)"
764,2006-05-18T00:00:00-03:00,,False,False,0,"03, 07, 45, 47, 53, 55","Sena (1 ganhadores), Quina (189 ganhadores), Quadra (15290 ganhadores)"
765,2006-05-21T00:00:00-03:00,,False,True,14740248.65,"03, 10, 16, 30, 37, 50","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (4336 ganhadores)"
766,2006-05-24T00:00:00-03:00,,False,True,16598769.93,"01, 19, 24, 42, 50, 58","Sena (0 ganhadores), Quina (63 ganhadores), Quadra (4477 ganhadores)"
767,2006-05-27T00:00:00-03:00,,False,True,18803331.88,"15, 22, 32, 38, 50, 54","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (4419 ganhadores)"
768,2006-05-31T00:00:00-03:00,,False,False,0,"04, 08, 30, 33, 37, 59","Sena (1 ganhadores), Quina (93 ganhadores), Quadra (6408 ganhadores)"
769,2006-06-03T00:00:00-03:00,,False,True,7808149.6,"12, 16, 20, 21, 29, 50","Sena (0 ganhadores), Quina (49 ganhadores), Quadra (3078 ganhadores)"
770,2006-06-07T00:00:00-03:00,,False,True,9438882.88,"04, 12, 25, 34, 35, 48","Sena (0 ganhadores), Quina (68 ganhadores), Quadra (5401 ganhadores)"
771,2006-06-10T00:00:00-03:00,,False,True,11260979.64,"14, 21, 29, 34, 46, 47","Sena (0 ganhadores), Quina (69 ganhadores), Quadra (4559 ganhadores)"
772,2006-06-14T00:00:00-03:00,,False,True,12817492.36,"10, 35, 38, 51, 52, 60","Sena (0 ganhadores), Quina (66 ganhadores), Quadra (5330 ganhadores)"
773,2006-06-17T00:00:00-03:00,,False,True,14487644.71,"03, 05, 14, 29, 34, 51","Sena (0 ganhadores), Quina (58 ganhadores), Quadra (4919 ganhadores)"
774,2006-06-21T00:00:00-03:00,,False,False,0,"05, 10, 37, 46, 54, 58","Sena (1 ganhadores), Quina (64 ganhadores), Quadra (4336 ganhadores)"
775,2006-06-24T00:00:00-03:00,,False,True,7421108.15,"12, 27, 42, 46, 47, 50","Sena (0 ganhadores), Quina (30 ganhadores), Quadra (3058 ganhadores)"
776,2006-06-28T00:00:00-03:00,,False,True,8748382.29,"03, 15, 35, 41, 57, 60","Sena (0 ganhadores), Quina (56 ganhadores), Quadra (3075 ganhadores)"
777,2006-07-01T00:00:00-03:00,,False,True,10252923.38,"02, 14, 23, 28, 50, 56","Sena (0 ganhadores), Quina (80 ganhadores), Quadra (3943 ganhadores)"
778,2006-07-05T00:00:00-03:00,,False,True,11825302.87,"20, 31, 36, 37, 45, 51","Sena (0 ganhadores), Quina (21 ganhadores), Quadra (1890 ganhadores)"
779,2006-07-08T00:00:00-03:00,,False,True,19016906.07,"25, 26, 29, 36, 52, 54","Sena (0 ganhadores), Quina (26 ganhadores), Quadra (3127 ganhadores)"
780,2006-07-12T00:00:00-03:00,,False,True,21030186.72,"07, 10, 28, 50, 51, 59","Sena (0 ganhadores), Quina (43 ganhadores), Quadra (3828 ganhadores)"
781,2006-07-15T00:00:00-03:00,,False,True,23318185.27,"08, 10, 13, 39, 54, 56","Sena (0 ganhadores), Quina (66 ganhadores), Quadra (5707 ganhadores)"
782,2006-07-19T00:00:00-03:00,,False,True,25654326.84,"02, 11, 23, 35, 42, 59","Sena (0 ganhadores), Quina (144 ganhadores), Quadra (7533 ganhadores)"
783,2006-07-22T00:00:00-03:00,,False,False,0,"04, 08, 21, 32, 43, 48","Sena (1 ganhadores), Quina (140 ganhadores), Quadra (8427 ganhadores)"
784,2006-07-26T00:00:00-03:00,,False,True,8240695.17,"08, 27, 37, 42, 53, 56","Sena (0 ganhadores), Quina (27 ganhadores), Quadra (2163 ganhadores)"
785,2006-07-29T00:00:00-03:00,,False,False,0,"05, 08, 17, 35, 37, 48","Sena (1 ganhadores), Quina (126 ganhadores), Quadra (6657 ganhadores)"
786,2006-08-02T00:00:00-03:00,,False,True,854527.84,"10, 11, 26, 27, 31, 41","Sena (0 ganhadores), Quina (19 ganhadores), Quadra (1521 ganhadores)"
787,2006-08-05T00:00:00-03:00,,False,True,2039100.64,"20, 31, 34, 37, 54, 60","Sena (0 ganhadores), Quina (40 ganhadores), Quadra (1955 ganhadores)"
788,2006-08-09T00:00:00-03:00,,False,True,3206981.5,"17, 19, 29, 31, 44, 57","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (3247 ganhadores)"
789,2006-08-12T00:00:00-03:00,,False,True,9027559.48,"06, 31, 38, 39, 50, 60","Sena (0 ganhadores), Quina (13 ganhadores), Quadra (1808 ganhadores)"
790,2006-08-16T00:00:00-03:00,,False,True,10483439.1,"02, 06, 19, 22, 28, 43","Sena (0 ganhadores), Quina (71 ganhadores), Quadra (5884 ganhadores)"
791,2006-08-19T00:00:00-03:00,,False,False,0,"09, 14, 19, 35, 42, 58","Sena (1 ganhadores), Quina (114 ganhadores), Quadra (5756 ganhadores)"
792,2006-08-23T00:00:00-03:00,,False,True,887300.41,"09, 29, 34, 43, 45, 56","Sena (0 ganhadores), Quina (32 ganhadores), Quadra (1949 ganhadores)"
793,2006-08-26T00:00:00-03:00,,False,True,2014302.06,"03, 15, 16, 33, 51, 57","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (3629 ganhadores)"
794,2006-08-30T00:00:00-03:00,,False,True,7393144.45,"03, 38, 42, 47, 55, 56","Sena (0 ganhadores), Quina (15 ganhadores), Quadra (1730 ganhadores)"
795,2006-09-02T00:00:00-03:00,,False,True,8860028.16,"14, 21, 26, 29, 36, 48","Sena (0 ganhadores), Quina (76 ganhadores), Quadra (4389 ganhadores)"
796,2006-09-06T00:00:00-03:00,,False,True,10256514.12,"05, 19, 24, 34, 39, 43","Sena (0 ganhadores), Quina (80 ganhadores), Quadra (4883 ganhadores)"
797,2006-09-09T00:00:00-03:00,,False,True,11707935.01,"06, 12, 47, 48, 52, 58","Sena (0 ganhadores), Quina (66 ganhadores), Quadra (3447 ganhadores)"
798,2006-09-13T00:00:00-03:00,,False,True,13355239.88,"03, 04, 09, 29, 32, 52","Sena (0 ganhadores), Quina (48 ganhadores), Quadra (4104 ganhadores)"
799,2006-09-16T00:00:00-03:00,,False,True,20861429.08,"19, 29, 35, 42, 55, 57","Sena (0 ganhadores), Quina (56 ganhadores), Quadra (4675 ganhadores)"
800,2006-09-20T00:00:00-03:00,,False,True,22895125.15,"01, 07, 11, 37, 38, 56","Sena (0 ganhadores), Quina (44 ganhadores), Quadra (4497 ganhadores)"
801,2006-09-23T00:00:00-03:00,,False,True,25374360.34,"11, 19, 20, 22, 42, 48","Sena (0 ganhadores), Quina (73 ganhadores), Quadra (5791 ganhadores)"
802,2006-09-27T00:00:00-03:00,,False,True,27890287.63,"06, 14, 18, 24, 48, 60","Sena (0 ganhadores), Quina (117 ganhadores), Quadra (8216 ganhadores)"
803,2006-09-30T00:00:00-03:00,,False,True,30927687.9,"03, 05, 10, 21, 28, 57","Sena (0 ganhadores), Quina (193 ganhadores), Quadra (12055 ganhadores)"
804,2006-10-04T00:00:00-03:00,,False,False,0,"03, 13, 37, 47, 56, 59","Sena (1 ganhadores), Quina (134 ganhadores), Quadra (9937 ganhadores)"
805,2006-10-07T00:00:00-03:00,,False,True,11073179.39,"02, 30, 36, 43, 48, 60","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (3489 ganhadores)"
806,2006-10-12T00:00:00-03:00,,False,True,12693574.74,"18, 26, 35, 41, 47, 60","Sena (0 ganhadores), Quina (50 ganhadores), Quadra (3179 ganhadores)"
807,2006-10-14T00:00:00-03:00,,False,True,14345789.99,"02, 08, 27, 32, 49, 56","Sena (0 ganhadores), Quina (130 ganhadores), Quadra (6188 ganhadores)"
808,2006-10-18T00:00:00-03:00,,False,True,16228138.27,"02, 15, 21, 31, 46, 57","Sena (0 ganhadores), Quina (44 ganhadores), Quadra (3844 ganhadores)"
809,2006-10-21T00:00:00-03:00,,False,True,24143857.18,"05, 11, 15, 23, 25, 30","Sena (0 ganhadores), Quina (121 ganhadores), Quadra (7669 ganhadores)"
810,2006-10-25T00:00:00-03:00,,False,True,26441472.82,"01, 04, 05, 33, 37, 48","Sena (0 ganhadores), Quina (75 ganhadores), Quadra (6450 ganhadores)"
811,2006-10-28T00:00:00-03:00,,False,False,0,"10, 28, 32, 41, 47, 57","Sena (2 ganhadores), Quina (89 ganhadores), Quadra (5508 ganhadores)"
812,2006-11-01T00:00:00-03:00,,False,True,967199.74,"11, 13, 38, 39, 54, 57","Sena (0 ganhadores), Quina (57 ganhadores), Quadra (2116 ganhadores)"
813,2006-11-04T00:00:00-03:00,,False,True,2069459.59,"09, 15, 23, 45, 46, 56","Sena (0 ganhadores), Quina (43 ganhadores), Quadra (3244 ganhadores)"
814,2006-11-08T00:00:00-02:00,,False,True,9203290.18,"02, 08, 11, 41, 46, 50","Sena (0 ganhadores), Quina (37 ganhadores), Quadra (2534 ganhadores)"
