Concurso,Data,Local Realizacao,Rateio Processamento,Acumulou,Valor Acumulado,Dezenas,Premiacao
125,1998-07-25T00:00:00-03:00,,False,True,851497.47,"25, 41, 47, 53, 56, 59","Sena (0 ganhadores), Quina (46 ganhadores), Quadra (2784 ganhadores)"
126,1998-08-01T00:00:00-03:00,,False,True,1852731.83,"06, 10, 11, 28, 32, 40","Sena (0 ganhadores), Quina (83 ganhadores), Quadra (5510 ganhadores)"
127,1998-08-08T00:00:00-03:00,,False,True,2987378.17,"21, 29, 50, 51, 54, 59","Sena (0 ganhadores), Quina (40 ganhadores), Quadra (2613 ganhadores)"
128,1998-08-15T00:00:00-03:00,,False,True,4183483.5,"03, 09, 18, 21, 23, 43","Sena (0 ganhadores), Quina (973 ganhadores), Quadra (11715 ganhadores)"
129,1998-08-22T00:00:00-03:00,,False,True,5440490,"01, 09, 10, 32, 46, 54","Sena (0 ganhadores), Quina (67 ganhadores), Quadra (5320 ganhadores)"
130,1998-08-29T00:00:00-03:00,,False,True,18814958.31,"13, 29, 38, 42, 49, 53","Sena (0 ganhadores), Quina (155 ganhadores), Quadra (11403 ganhadores)"
131,1998-09-05T00:00:00-03:00,,False,True,21765774.49,"04, 09, 17, 27, 30, 44","Sena (0 ganhadores), Quina (361 ganhadores), Quadra (21683 ganhadores)"
132,1998-09-12T00:00:00-03:00,,False,True,25343057.89,"07, 09, 35, 41, 44, 50","Sena (0 ganhadores), Quina (143 ganhadores), Quadra (12179 ganhadores)"
133,1998-09-19T00:00:00-03:00,,False,False,0,"05, 06, 19, 34, 39, 57","Sena (1 ganhadores), Quina (431 ganhadores), Quadra (29264 ganhadores)"
134,1998-09-26T00:00:00-03:00,,False,True,1008932.39,"04, 25, 32, 36, 52, 60","Sena (0 ganhadores), Quina (82 ganhadores), Quadra (4575 ganhadores)"
135,1998-10-03T00:00:00-03:00,,False,True,2188444.72,"21, 22, 35, 40, 53, 59","Sena (0 ganhadores), Quina (40 ganhadores), Quadra (3604 ganhadores)"
136,1998-10-10T00:00:00-03:00,,False,True,3463871.17,"01, 17, 25, 38, 45, 59","Sena (0 ganhadores), Quina (126 ganhadores), Quadra (7403 ganhadores)"
137,1998-10-17T00:00:00-02:00,,False,True,4802402.93,"15, 16, 19, 22, 26, 49","Sena (0 ganhadores), Quina (88 ganhadores), Quadra (6701 ganhadores)"
138,1998-10-24T00:00:00-02:00,,False,True,6254876.8,"05, 14, 27, 37, 40, 41","Sena (0 ganhadores), Quina (86 ganhadores), Quadra (6953 ganhadores)"
139,1998-10-31T00:00:00-02:00,,False,False,0,"03, 13, 26, 27, 41, 42","Sena (2 ganhadores), Quina (179 ganhadores), Quadra (9401 ganhadores)"
140,1998-11-07T00:00:00-02:00,,False,True,16453628.31,"07, 31, 41, 44, 46, 55","Sena (0 ganhadores), Quina (45 ganhadores), Quadra (4945 ganhadores)"
141,1998-11-14T00:00:00-02:00,,False,True,19324778.9,"10, 13, 22, 41, 42, 58","Sena (0 ganhadores), Quina (119 ganhadores), Quadra (10533 ganhadores)"
